(176887, 1, datetime.date(2022, 11, 3), datetime.time(14, 20, 52), datetime.date(2022, 11, 3), datetime.time(14, 20, 52), 16, 18, 84754, Decimal('2.43'), 3, 9, datetime.date(2022, 11, 3), datetime.date(2022, 11, 10), 4)
(176888, 2, datetime.date(2022, 11, 3), datetime.time(14, 20, 52), datetime.date(2022, 11, 3), datetime.time(14, 20, 52), 19, 8, 42972, Decimal('3.94'), 2, 3, datetime.date(2022, 11, 8), datetime.date(2022, 11, 7), 8)
(176889, 3, datetime.date(2022, 11, 3), datetime.time(14, 20, 52), datetime.date(2022, 11, 3), datetime.time(14, 20, 52), 10, 4, 65839, Decimal('2.91'), 3, 4, datetime.date(2022, 11, 7), datetime.date(2022, 11, 6), 19)
(176890, 4, datetime.date(2022, 11, 3), datetime.time(14, 20, 52), datetime.date(2022, 11, 3), datetime.time(14, 20, 52), 10, 16, 32069, Decimal('3.89'), 2, 4, datetime.date(2022, 11, 7), datetime.date(2022, 11, 5), 15)
(176891, 5, datetime.date(2022, 11, 3), datetime.time(14, 20, 52), datetime.date(2022, 11, 3), datetime.time(14, 20, 52), 18, 4, 49659, Decimal('2.41'), 3, 7, datetime.date(2022, 11, 8), datetime.date(2022, 11, 5), 25)
(176892, 6, datetime.date(2022, 11, 4), datetime.time(11, 37, 10), datetime.date(2022, 11, 4), datetime.time(11, 37, 10), 13, 18, 83908, Decimal('3.99'), 3, 3, datetime.date(2022, 11, 7), datetime.date(2022, 11, 4), 17)
(176893, 7, datetime.date(2022, 11, 4), datetime.time(12, 57, 9), datetime.date(2022, 11, 4), datetime.time(12, 57, 9), 11, 10, 65453, Decimal('2.89'), 2, 7, datetime.date(2022, 11, 9), datetime.date(2022, 11, 4), 28)
(176894, 8, datetime.date(2022, 11, 4), datetime.time(13, 45, 10), datetime.date(2022, 11, 4), datetime.time(13, 45, 10), 11, 20, 20381, Decimal('2.22'), 2, 2, datetime.date(2022, 11, 7), datetime.date(2022, 11, 6), 8)
(176895, 10, datetime.date(2022, 11, 7), datetime.time(9, 7, 10), datetime.date(2022, 11, 7), datetime.time(9, 7, 10), 16, 12, 61620, Decimal('3.86'), 2, 3, datetime.date(2022, 11, 10), datetime.date(2022, 11, 9), 20)
(176896, 11, datetime.date(2022, 11, 7), datetime.time(15, 53, 10), datetime.date(2022, 11, 7), datetime.time(15, 53, 10), 14, 12, 35227, Decimal('3.41'), 2, 9, datetime.date(2022, 11, 13), datetime.date(2022, 11, 8), 13)
(176897, 12, datetime.date(2022, 11, 9), datetime.time(10, 20, 9), datetime.date(2022, 11, 9), datetime.time(10, 20, 9), 8, 12, 7693, Decimal('3.88'), 2, 2, datetime.date(2022, 11, 11), datetime.date(2022, 11, 13), 15)
